SETTLEMENTDATE,DUID,INITIALMW,TOTALCLEARED,RAMPDOWNRATE,RAMPUPRATE,LOWER1SEC,RAISE1SEC,TOTAL_RAISE1SEC,RAISE1SEC_MARKET_SHARE_PCT
2023-10-09 15:05:00,QBYNBG1,1.45348,0,120,120,0,5.0,50.0,10.0
2023-10-09 15:05:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 15:05:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 15:05:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 15:05:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:05:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:05:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:05:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:10:00,ASNENC1,0,0,0,0,0,10.0,50.0,20.0
2023-10-09 15:10:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
2023-10-09 15:10:00,DRVIOT04,0,0,0,0,0,7.0,50.0,14.0
2023-10-09 15:10:00,WALGRVG1,0,0,600,600,0,6.0,50.0,12.0
2023-10-09 15:10:00,QBYNBG1,1.74447,0,120,120,0,5.0,50.0,10.0
2023-10-09 15:10:00,DRVIOT05,0,0,0,0,0,4.0,50.0,8.0
2023-10-09 15:10:00,LBBG1,0,0,300,300,0,4.0,50.0,8.0
2023-10-09 15:10:00,ASSENC1,0,0,0,0,0,2.0,50.0,4.0
2023-10-09 15:10:00,ASRMGE01,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:10:00,ASRMGE02,0,0,0,0,1,1.0,50.0,2.0
2023-10-09 15:10:00,DRVIOT02,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:10:00,DRVIOT03,0,0,0,0,0,1.0,50.0,2.0
2023-10-09 15:15:00,ASNENC1,0,0,0,0,0,9.0,50.0,18.0
2023-10-09 15:15:00,VENUS1,0,0,0,0,0,8.0,50.0,16.0
